id,competencia,fecha,tipo_registro,estatus,tipo_victima,sexo,materia
226,Federal,2016-08-16,Fud,Folio Asignado,Directa,Mujer,Violaciones
227,Federal,2016-08-16,Fud,Folio Asignado,Directa,Hombre,Violaciones
228,Federal,2016-08-16,Fud,Folio Asignado,Directa,Hombre,Ambas
229,Federal,2016-08-16,Fud,Folio Asignado,Directa,Hombre,Violaciones
230,Federal,2016-08-16,Fud,Folio Asignado,Directa,Hombre,Ambas
231,Federal,2016-08-16,Fud,Folio Asignado,Directa,Hombre,Violaciones
232,Federal,2016-08-16,Fud,Folio Asignado,Directa,Hombre,Violaciones
233,Federal,2016-08-16,Fud,Folio Asignado,Indirecta,Hombre,Violaciones
234,Federal,2016-08-16,Fud,Folio Asignado,Directa,Hombre,Violaciones
235,Federal,2016-08-16,Fud,Folio Asignado,Directa,Hombre,Violaciones
236,Federal,2016-08-16,Fud,Folio Asignado,Directa,Hombre,Violaciones
237,Federal,2016-08-16,Fud,Folio Asignado,Directa,Hombre,Violaciones
238,Federal,2016-08-16,Fud,Folio Asignado,Directa,Hombre,Violaciones
239,Federal,2016-08-16,Fud,Folio Asignado,Directa,Hombre,Violaciones
240,Federal,2016-08-16,Fud,Folio Asignado,Directa,Hombre,Violaciones
241,Federal,2016-08-16,Fud,Folio Asignado,Directa,Hombre,Violaciones
242,Federal,2016-08-16,Fud,Folio Asignado,Directa,Hombre,Violaciones
243,Federal,2016-08-16,Fud,Folio Asignado,Directa,Hombre,Violaciones
244,Federal,2016-08-16,Fud,Folio Asignado,Directa,Hombre,Violaciones
245,Federal,2016-08-16,Fud,Folio Asignado,Directa,Hombre,Violaciones
246,Federal,2016-08-16,Fud,Folio Asignado,Directa,Hombre,Violaciones
247,Federal,2016-08-16,Fud,Folio Asignado,Directa,Hombre,Violaciones
248,Federal,2016-08-16,Fud,Folio Asignado,Directa,Hombre,Violaciones
249,Federal,2016-08-16,Fud,Folio Asignado,Directa,Hombre,Violaciones
250,Federal,2016-08-16,Fud,Folio Asignado,Directa,Hombre,Violaciones
251,Federal,2016-10-26,Fud,Folio Asignado,Directa,Hombre,Delito
252,Federal,2016-10-26,Fud,Folio Asignado,Directa,Hombre,Delito
253,Federal,2016-10-20,Fud,Folio Asignado,Directa,Hombre,Violaciones
254,Federal,2016-10-18,Fud,Folio Asignado,Directa,Hombre,Delito
255,Federal,2016-10-18,Fud,Folio Asignado,Indirecta,Mujer,Delito
256,Federal,2016-10-18,Fud,Folio Asignado,Indirecta,Hombre,Delito
